@relation tweets

@attribute text string
@attribute ' class' {no,yes}

@data
'Por cuarto año consecutivo, del 29 de septiembre al 02 de octubre, se celebrará Expo Dj Venezuela… ',no
'#28Sep Síntesis de las Artes Mayores  Formidable Colección de Arte del s  XX en la UCV ',no
'Degusta infinidad de platos basados en la comida italiana y mediterránea @BocataBar  ',yes
'¿Y si pasamos un rarto especial en @Lolarestaurante ?  gt  ',no
'Delicias gastronómicas en @madameblac  gt  gt  ',no
'@TripticoRest ofrece un ambiente muy moderno y agradable ideal para compartir una rica cena  ',no
'Plaza Francia 😍 ',no
'Este #30Sep @bandabner estrena “Alma Llanera Rockera” en @teatrex  gt  gt  ',yes
'En @sohopizzas puedes disfrutar 16 estilos de pizzas, entre ellas la pizza \'Soho”  gt  gt  ',no
'El sabor de la comida criolla se prepara con el modernismo y sofisticación de El Asador  gt  gt  ',yes
'Servicio, comida y ambiente, estos son los tres aspectos fundamentales de @UnosGorditosAhi  ¡Toda una experiencia d… ',no
'En @mokambocafe te ofrecen Salpicón de mariscos y Lomo de Carite fresco  gt  ',yes
'Uno de los sitios que podemos encontrar en La Plaza Bolívar es Bistro Libertador   gt   ',no
'Taller de Periodismo Musical por @williampadron y @HumbertoSanchez   gt  ',no
'#28Sep Síntesis de las Artes Mayores  Formidable Colección de Arte del s  XX en la UCV ',yes
'Vamos a iniciar la semana con una taza de café ',yes
'Confía en la ciencia  protege tu corazón bebiendo una cerveza al día   ) @OktoberfestLM ',no
'Hoy en @Escena8 #LosMaleteados ',yes
'@oceanico_rest resulta una de las mejores opciones para adentrarse en las delicias de la comida del mar  gt  gt … ',yes
'\'No tienes idea\' en @TEATREX de El Bosque ',yes
'\'No tienes idea\' en @TEATREX de El Bosque ',yes
'\'Eso que llaman amor\' hoy en @trasnochocult ',no
'Hoy #25Sep en @CineJardin proyectarán #EdificioRoyal',no
'¿Y si pasamos un rarto especial en @Lolarestaurante ?  gt  ',no
'@cafechacao Encantador espacio ubicado en las instalaciones del @CculturalChacao   gt  ',no
'Uno de los sitios que podemos encontrar en La Plaza Bolívar es Bistro Libertador   gt   ',no
'Hay muchas cosas que ver en @losgalpones   gt  ',yes
'#ExperienciaPantone de Flavia Rainone (Paso peatonal Cinético, 2014) ',yes
'#28Sep Síntesis de las Artes Mayores  Formidable Colección de Arte del s  XX en la UCV ',yes
'No te puedes perder la @expogastronomia en la #PlazaSadel ¡Delicioso! ',yes
'Hoy #25Sep en @CineJardin proyectarán #EdificioRoyal ',no
'Iniciamos el domingo con esta hermosa vista ',no
'No te puedes perder la @expogastronomia en la #PlazaSadel ¡Delicioso! ',no
