@relation tweets

@attribute text string
@attribute ' class' {no,yes}

@data
'#Ahora Enfrentamiento con Polisucre en persecución por un secuestro enproceso dejo saldo  abatidos GMA ',no
'  Su padre contó que esta semana retomaría sus estudios de er año en un liceo del  de Enero porque los había abandonado ',no
'  Estuvo herido en plena vía pública y allí murió casi a las am porque nadie le prestó ayuda  Era caletero en el mercado de Catia ',no
'  El adolescente fue al sector con un conocido q lo invitó a una fiesta  Se presume hubo una riña a la am y lo acuchillaron por la espalda',no
' Carlos Eduardo Gonzalez     murió desangrado el sábado en el barrio El Limón  carretera vieja Caracas La Guaira  Recibió  cuchilladas',no
'  Tres delincuentes se acercaron y le dispararon  Presumen que se trató de un robo aunque la policía investiga venganza  Era obrero',no
' En Los Mangos  La Vega  fue asesinado el sábado Daifran Israel Rangel     cuando se bajó d un colectivo q cubría ruta La Vega ElSilencio',yes
'Este fin de semana fueron ingresados  cadáveres a la morgue de Bello Monte en Caracas',no
'RT        #URGENTE #RT por favor  mil gracias    ',yes
'  El presunto homicida del chef es conocido como  El Gordo   Al parecer fue reconocido por los testigos del crimen ',yes
'  El resto de las personas que viajaban en el colectivo corrió  Quedó solo el chofer que llevó al herido hasta el hospital ',no
'  Presuntamente el delincuente pretendía cometer un asalto en la unidad  pero el único herido fue el chef que murió en el Domingo Luciani ',no
'  González salió en un colectivo desde Caucaguita hacia Petare para tomar Metro hacia su trabajo cuando un sujeto armado le disparó ',no
' Pedro José González     quien laboraba como chef de la pastelería Danubio ubicada en Chacao  fue asesinado ayer en Petare ',no
'  Imagen # Procedimiento PNB  am en la GMV de Antímano  ',no
'  Imagen # del enfrentamiento con PNB en edif GMV en Antímano  ',no
'  Imagen # del enfrentamiento con Polisucre   en la Petare Santa Lucia  ',no
'  Imagen # del enfrentamiento con Polisucre  am de hoy  ',yes
'  También la PNB llevó a cabo una OLP entre las zonas de Petare y Mariches  Cifra extraoficial es de  abatidos  Info en proceso   ',no
'  También la PNB llevó a cabo una OLP entre las zonas de Petare y Mariches  Cifra extraoficial es de  abatidos  Info en proceso   ',no
'  Se conoció que la banda era buscada por homicidios  extorsiones  violaciones y cobro de vacunas a comerciantes  según la policía ',yes
'  En el pato recuperaron  armas de fuego  una granada fragmentaria  uniformes falsos del Cicpc y chaquetas de la GNB ',yes
'  Fallecidos  José Luis Berrios     alias  El Casanova  y su hermanastro  Ivan Enrique Moreno Berrios    ',no
' El enfrentamiento ocurrió am  en bloque  apto    Allí hubo dos fallecidos ',no
'  Más tarde  en el edificio de la GMV detrás del Metro Antímano  la División Antiextorsión y Secuestros de la PNB ultimó a otros  sujetos ',no
' Funcionarios de la Estación Policial Mariches intentaron verificar el carro  Los ocupantes intenaron huir hasta q hubo el enfrentamiento ',yes
' Los  sujetos tripulaban un Chevrolet Century blanco  placas ABNP  junto a otros  sujetos que se dieron a la fuga ',yes
' Allí fueron abatidos  Ender Gamez Valencia    y un segundo sujeto que no portaba documentos personales ',no
'  A las   am hubo un enfrentamiento con Polisucre en la urbanización La Estancia  kilómetro  de la carretera Petare Santa Lucia ',yes
'Al menos  fallecidos en enfrentamientos con cuerpos policiales se registraron esta mañana en los municipios Sucre y Libertador',no
'Dios tiene un propósito para tu vida y nadie podrá apartarte de Él  Aunque todo vaya mal  confía  Se valiente y no te rindas  Feliz amanecer',yes
